Farm_ID,Region,Crop_Type,Farming_Practice,Soil_Type,Soil_pH,Soil_Moisture(%),Nitrogen(ppm),Phosphorus(ppm),Potassium(ppm),Temperature(°C),Rainfall(mm),Humidity(%),Solar_Radiation(W/m²),Irrigation(L/ha),Fertilizer_Usage(kg/ha),Pesticide_Usage(kg/ha),Pest_Incidence,Pest_Severity,Carbon_Emissions(kgCO2eq/ha),Biodiversity_Score,Water_Use_Efficiency(kg/L),Yield(kg/ha),Profit(USD/ha)
F033,North,Soybean,Conventional,Loamy,4.7,5.3,91,43.2,238.9,34.9,254.4,85.8,233.2,4769.1,221.8,5,Yes,High,1475.8,6.7,2.61,7136,3541.8
F034,West,Rice,Integrated,Clay,4.52,18,87.4,29.6,95.9,21.1,137,94.4,335.1,580.3,81.2,2.4,Yes,Medium,757.4,5.8,2.93,7496.1,4553.7
F035,North,Vegetables,Conventional,Clay,4.61,7.2,83.4,73.8,246.5,20.7,186.1,93.4,476.9,3654.4,92.5,10.3,No,Medium,1465.1,1,2.23,2049,3006.4
F036,South,Soybean,Conventional,Sandy,5.64,26.8,23.3,19.9,132.3,20.8,51.2,83.5,646.9,4314.3,64.3,18.8,No,Medium,525.6,3.9,2.04,7148.2,1683.3
F037,South,Cotton,Organic,Sandy,8.28,29.5,117.1,55.6,118.6,15.6,180.7,71.8,690,4044.8,110.8,3.8,Yes,Medium,1404.4,4,2.17,3947.2,1816.3
F038,South,Cotton,Organic,Sandy,4.68,17.7,54.5,70.2,205.9,16.1,211.9,77,438.2,1529.7,84.4,4.7,Yes,High,1180,7.7,2.66,2906.5,301.9
F039,North,Maize,Integrated,Sandy,6.59,5.6,46.6,19.1,175.5,20.9,78.5,79.7,694.4,4246.7,62.7,4.2,No,Medium,878.2,8,2.97,779.4,841.4
F040,West,Vegetables,Organic,Silty,7.08,27.5,79.1,20,238.1,27.1,230.4,51.4,580.9,4492,116,13.1,No,Medium,1150.7,9.9,1.1,2451.3,2212.1
F041,East,Maize,Conventional,Sandy,6.34,30.1,71.3,57,97.1,28.8,50.5,48.3,483.6,1155.9,167.2,14.8,No,Low,686.2,4.6,3.28,5823.5,2738.3
F042,South,Maize,Organic,Sandy,7.5,14.3,110.1,56.5,71.7,27.6,138.5,78.7,232.5,2337.5,71.9,12.2,No,Low,251,0.9,2.93,2677.2,2891.5
F043,East,Soybean,Organic,Sandy,8.2,15.1,54.7,18,175.5,27.6,268.1,76.8,590.7,2787.9,15.8,13.1,Yes,Low,799.4,8.3,3.34,4363.3,1085.8
F044,South,Maize,Integrated,Silty,4.69,28.8,43.9,34.7,245.6,15.1,176.7,50.3,108.7,3663.8,119,9.4,Yes,High,1166.6,1.8,1.22,5460.8,1912.2
F045,South,Vegetables,Organic,Silty,6.57,6.7,105.3,53.1,186.1,25.7,190.6,29.5,783.3,1492.2,51.2,7.2,No,Medium,812.8,2.6,0.82,6720.1,2753.5
F046,North,Soybean,Conventional,Loamy,4.94,40.3,64.4,46.6,239.8,19.8,181.1,61.5,759.8,4371.5,39.7,11,No,Medium,1849.4,2.1,0.98,7536.8,2546.1
F047,West,Maize,Conventional,Sandy,8.11,12.5,79.9,43.2,78.1,19.4,101.5,61,550.3,2294.5,118.4,8.3,Yes,High,1353.6,3,3.38,5340.7,4519
F048,West,Vegetables,Organic,Silty,5.47,26.5,91.5,37.8,109.5,28.6,236,65.1,175.9,4620.6,151.7,19.3,No,High,943.8,9.6,3.18,2357.6,4549.1
F049,East,Wheat,Integrated,Loamy,8.36,32.4,48,35,229.1,26.4,195.9,28.4,538.2,3193.2,62.8,5,Yes,Low,610,5.4,0.69,4972.1,4367.8
F050,West,Vegetables,Conventional,Silty,8.22,6.9,33.6,18.4,157.1,35.2,120.4,68.9,184,3217.5,107.2,13.5,Yes,Low,709.2,4.5,1.71,7323.3,864.7
F051,West,Rice,Integrated,Sandy,6.06,7.5,59.4,48.2,95.8,36.5,37.7,46,738.9,4841.3,45.5,5.9,No,High,1487.4,6,1.41,5186.9,1055.9
F052,East,Vegetables,Integrated,Loamy,4.95,38.8,99.8,43,138.6,23.2,209.6,32.6,666.2,3871.9,247.5,13.6,No,High,809.9,8.5,3.08,1912.4,656.5
F053,North,Wheat,Conventional,Sandy,6.24,42.8,82.9,54.5,230.8,24.7,174.6,76,548,3139.7,208.8,13.6,No,Low,616.8,3.9,0.95,5354.2,3381.7
F054,East,Soybean,Organic,Silty,4.68,7.1,87.1,63.3,181.4,15.4,119.2,90.6,657.1,1302.4,141.1,13.2,No,Medium,1236.1,4.3,0.74,7779.4,1467.3
F055,West,Vegetables,Conventional,Sandy,5.53,12.9,50.6,37.1,236.5,23.8,54.5,36.6,122.6,4573.6,31,16.6,No,Medium,1304,7.5,2.87,1556.1,3640.8
F056,West,Vegetables,Organic,Sandy,5.05,33.2,116.4,45.5,149.8,29.6,273,72.1,665.7,4799.9,243.6,7.4,Yes,High,146,1.5,1.79,2088.6,1249.5
F057,West,Cotton,Conventional,Silty,6.92,23.1,37.2,20.8,124.8,35.7,115.4,23.8,766.2,567.6,109.1,11.8,Yes,High,1905.5,8.8,2.83,6608.6,1130.7
F058,West,Soybean,Conventional,Sandy,5.71,11.2,45.1,22.3,248.4,20.7,174.2,51.1,462.5,2379.1,166.8,7.7,No,Low,148.5,3.5,0.96,5174.4,640.5
F059,North,Vegetables,Conventional,Sandy,7.89,21.6,44.1,74.2,171.2,25.4,161.1,50.1,437.3,2263.8,6.9,11.9,No,Low,1397.7,8.2,3.16,7561,537.4
F060,West,Vegetables,Integrated,Sandy,6.31,14.7,97.9,73.2,144,21.9,250.2,85.4,716.5,3227.5,204.7,0.6,Yes,Low,132.1,3.3,3.09,2343.6,3954.6
F061,West,Wheat,Organic,Loamy,5.37,21,36.4,62.4,202.2,28.6,264.2,67,570.7,2774.8,41.1,4.2,No,Low,427.9,8.8,0.78,1043.7,2609.1
F062,South,Vegetables,Integrated,Sandy,6.72,35.7,27.7,52.7,71.3,32.3,213.7,86.3,796.7,3026.3,140,10.3,Yes,High,1004.8,8.7,1.29,2381.9,3576.4
F063,West,Soybean,Organic,Silty,5.61,16.8,49.2,45.4,164.2,24.9,7.8,23.3,433.3,1553,30,11.8,Yes,Medium,986.3,0.6,3.19,6241,1678.7
F064,West,Wheat,Integrated,Sandy,6.72,17.3,115.6,34.8,142.4,24.1,66.7,45.9,594.8,2946.6,246.7,12.7,No,Low,742.9,2.4,2.26,2938.6,1390.7
F065,West,Rice,Integrated,Loamy,6.29,19.3,83.6,11.5,128.4,27,26.6,81.1,101.4,1284.8,64.6,18,Yes,Low,698.2,9.4,3.11,797,454
F066,West,Wheat,Integrated,Loamy,6.78,40.6,89.5,38.5,66.6,23.1,111.2,30.6,749.1,4037.2,34.2,14,Yes,High,1895.3,8.5,1.69,4116.5,949.4
F067,North,Wheat,Organic,Loamy,6.08,17.2,63.5,33.4,82.8,21.2,146.8,68.3,295.6,2388.5,140.8,16.1,Yes,High,798.7,8.7,3.41,5004.2,3898.3
F068,West,Vegetables,Organic,Sandy,6.66,31.2,30.9,61.5,187.4,17.3,215.9,64.3,385.7,1807.3,70.9,18.7,No,Low,1112,5.1,2.93,728.6,3520.2
F069,North,Soybean,Organic,Sandy,5.8,10.2,29.5,33,64.8,36.8,3.1,89.1,434.5,2640.5,69.4,16.5,Yes,Low,178.9,5.3,1.6,7763.4,1383.3
F070,South,Maize,Conventional,Clay,6.6,26.9,85.8,33.4,107.9,16.7,148.2,41,187.3,4819,227,7.7,No,Low,1432.7,7.4,2.47,4216.2,3515.4
F071,North,Rice,Integrated,Sandy,7.41,31.5,32.1,22.4,88.3,37.3,238.9,84.3,502.7,4525.4,236.3,0.1,No,Medium,996.7,8.8,2.74,6650.5,2738.9
F072,East,Maize,Organic,Silty,4.84,40.6,26.1,22.6,154.4,30.7,174.7,46.3,766.9,2439.3,136.2,10.3,Yes,Medium,968,8.7,1.22,4256.9,3395.4
F073,East,Wheat,Integrated,Clay,7.28,13.2,73.7,33,154.6,16.8,218.5,72.1,274.5,4895.1,4.6,17.5,No,Medium,121.8,9.6,1.66,7477.5,530.2
F074,North,Maize,Conventional,Loamy,5.99,21.4,37.6,18.1,207.4,23.6,38,85.8,759.8,4710,102.3,13.6,No,Low,1469.2,2.7,1.08,2856.8,1433.9
F075,West,Soybean,Integrated,Sandy,7.6,34.1,72.7,22.8,114.3,19.8,20.2,78.6,655.4,2795.1,246.8,14.6,No,Medium,1644.5,3.6,1.12,6826,1210.5
F076,North,Wheat,Organic,Sandy,6.62,13.8,52.1,26.6,109.6,32.1,112.2,87.5,723.2,2023.6,193.2,18.5,No,High,220,0.8,3.48,3719.4,897.7
F077,West,Rice,Organic,Silty,8.25,24.4,82.9,56,220.1,19.9,15.9,79.2,364.5,2279.1,118.7,19.6,No,Low,768.3,7.9,1.99,904.1,3058
F078,South,Cotton,Organic,Silty,6.59,7.6,36.3,17.3,237.7,34.5,169.6,70.6,191.9,2796.6,26.5,9.9,No,High,1066.4,6.1,2.85,2518.3,58.8
F079,South,Vegetables,Organic,Silty,5.78,8.1,116.9,60.9,163.4,33.7,15.4,40.1,529.2,2488.7,138.6,17,Yes,Medium,1496.1,0,1,4129.9,4461.9
F080,East,Soybean,Conventional,Silty,6.73,15.9,107.6,75,80.2,15.1,138.4,68.8,541.7,3416.8,89.5,8,Yes,Low,1689.7,8.3,1.45,1702.4,3785.1
F081,East,Maize,Conventional,Sandy,6.58,41.8,39,59.5,150,22.5,9.2,41.9,195.2,4044,98.6,15.2,Yes,Low,942.8,4.6,2.33,1198.2,3699.2
F082,South,Maize,Organic,Clay,4.59,29.2,68,72.8,185.6,24.9,63.8,48.5,659.6,4359,95.6,2,Yes,Low,829.7,8.9,2.03,2224.1,4010.9
F083,West,Soybean,Integrated,Sandy,7.21,36.6,112.3,49.1,59.5,34.9,19.9,53.1,513,3488.9,147,3.9,No,Low,1806.4,4.8,3.45,6233.9,4530.2
F084,West,Soybean,Organic,Clay,6.44,12.8,37.9,59.4,78.6,39.7,184.6,85.6,709,3257.5,188.6,9.4,Yes,Medium,512.5,3,0.57,6509.2,2136.8
F085,East,Wheat,Integrated,Loamy,8,38.7,52.1,42.4,125.7,25.7,116,32.1,417.6,1297,118.6,15.6,Yes,Medium,491.5,4.6,1.72,7300,2594.3
F086,North,Maize,Conventional,Loamy,6.7,32.5,66.3,66.1,180.2,36.2,106.9,32.2,446.1,1751,42.7,11,No,High,537.1,1.5,1.83,5552.6,3947.6
F087,South,Soybean,Integrated,Clay,6.66,19.8,30.6,26.6,105.5,28.8,19.7,37.9,618.3,4521.8,153.9,17.2,No,Low,1842.6,0.8,0.99,5203.2,3903.8
F088,South,Soybean,Organic,Loamy,7.63,16.3,66.9,35.3,64.7,17.2,97.7,27,303.7,3847.5,177.3,11,Yes,Medium,540.8,4.7,0.63,3703.4,3194.2
F089,East,Rice,Integrated,Silty,6.9,14.6,109,10.5,113.3,31.2,23.1,40.9,612.8,4689.1,47.7,10.9,No,High,535.1,0.8,3.24,6847.5,843
F090,South,Cotton,Integrated,Silty,7.11,21.5,111.5,19.9,245.4,27.3,111.5,70,157.4,4863.6,93.8,19.1,No,High,1930.1,3,0.94,4912.8,3788.6
F091,East,Soybean,Integrated,Clay,7.34,32.8,44.3,58.1,146.1,20.3,41.4,36,667.2,2302.1,239.8,18.5,No,Medium,1006.4,4.9,3.35,6449.2,2175.2
F092,West,Wheat,Conventional,Clay,5.8,11,60.6,25.2,164.7,23.1,159.4,60.5,115.6,1253.4,71.5,13.1,Yes,High,1123.6,6.1,3.27,5695.8,4213.6
F093,South,Maize,Conventional,Sandy,7.31,42.4,59.2,68.3,215.7,34.9,173.6,35.8,568.1,3498.5,72.2,3.6,Yes,Medium,1424.6,0.5,0.9,3688.5,843.7
F094,East,Cotton,Organic,Silty,5.2,15.5,80,63.6,169.9,39.9,223.6,43.2,533.1,2712.3,44.3,14.9,No,Medium,503.3,5.5,1.79,761.5,666.9
F095,North,Wheat,Conventional,Silty,7.4,32.4,37.4,48.4,169.9,39.4,242.4,46.6,664.9,1824.2,202,2.7,No,Medium,1459.9,0.7,2.75,4153.8,1756
F096,South,Vegetables,Integrated,Clay,7.91,12.6,57.1,71.5,56.8,21.3,226.3,83.5,780.8,4470.3,167.9,13.4,No,High,1889.2,6.8,2.54,7239.9,2187.7
F097,East,Rice,Organic,Silty,7.93,19.8,63.6,31.4,116.7,19,33.1,78.2,321.8,776.4,176.5,11.1,No,High,269.5,4.4,2.53,2423.9,4072.5
F098,West,Vegetables,Organic,Silty,7.08,21.9,74.3,22.6,102.2,37.9,71.5,59.4,545.6,967.7,117.5,4,No,Medium,1687.5,1.9,2.41,4122.9,412.8
F099,East,Cotton,Conventional,Silty,5.29,7.4,53.1,29.8,189.7,36.2,293.9,42.6,520.1,950,77.5,1.7,Yes,High,1134.4,2.4,3.13,2302.1,2124.1
F100,North,Wheat,Integrated,Sandy,4.87,24.2,81.5,49.2,106.5,25.2,155.6,44.6,154.8,4276.3,189.1,14.7,No,High,1766.1,1.8,0.74,1735.8,1167.2
F101,West,Cotton,Organic,Loamy,7.02,36.5,25,44.4,117.7,38.6,85.8,24.5,104,4222.7,97.1,14.5,Yes,Medium,730,8.7,1.55,6250.7,4779
F102,South,Rice,Conventional,Clay,6.54,12.8,59.9,23.5,106.9,15.6,245.5,49.7,703,930.4,38.4,8.5,No,Low,579.5,0.7,3,2132.7,1643.6
F103,West,Wheat,Integrated,Silty,4.79,20.3,47.5,29.7,114.5,26.5,172.2,24.9,695.3,4912.6,176.9,19.3,Yes,Low,1526.3,9.1,2.37,3880.1,2393.2
F104,North,Rice,Conventional,Loamy,7.6,29.5,57.6,57.5,211,22.4,136.7,71,769.9,1352.2,198.5,6.7,No,Medium,1707.5,1.2,2.54,5629.4,4687.9
F105,East,Wheat,Conventional,Silty,8.1,40.1,39.8,66.6,70.3,28.7,97.5,83.4,295.9,3910.8,97.1,6.5,Yes,High,1264.4,7.7,0.98,2747.5,3427.2
F106,North,Rice,Organic,Clay,5.54,40.4,73,18.5,216.6,17.9,43.8,88.6,241.8,1508.3,146.5,10.8,No,High,1917.4,4.8,2.09,7381,2980.1
F107,South,Vegetables,Integrated,Clay,6.56,6.3,27.5,44.8,150.3,19.4,18.7,94.6,145.2,1780.7,82.8,9.6,No,Low,1728.3,4.7,3.45,6672.8,4899.6
F108,West,Cotton,Conventional,Silty,6.09,9.5,40.3,57.1,204.5,38.7,9.9,89.8,667.1,3729.5,190.2,12.9,Yes,Low,904.5,7.6,2.5,1888.2,259.8
F109,North,Vegetables,Organic,Silty,6.95,23.4,81.5,22.9,240.1,29.7,154.4,25.5,111.9,2153,210.9,15.8,Yes,High,152.7,5,2.48,3839.7,3743.8
F110,West,Rice,Organic,Sandy,7.87,23.4,71,12.5,132.3,30.8,268.1,87.3,175.9,3655.6,53,6.8,No,Medium,453.1,1.5,0.86,1212,250.9
F111,North,Vegetables,Conventional,Loamy,8.02,39.3,40,30.1,98.7,36.6,92.6,42.5,700.5,878.1,186.7,2.8,Yes,Low,1065.6,9.9,2.67,4364.8,3167.3
F112,South,Rice,Integrated,Loamy,8.44,39.8,80.9,49.4,83.9,36.5,112.3,73.7,745.4,4320.8,98,19.7,Yes,Low,518.1,9.9,3.37,5474.9,4583.6
F113,West,Wheat,Conventional,Silty,8.32,31.7,36.9,34.7,211.9,16.8,197.2,30.1,271.1,3646.9,59.5,11.3,No,Low,1075.6,1.7,2.29,1544.6,3087.4
F114,South,Rice,Conventional,Sandy,6.83,25.5,67.7,12.6,167.1,32.9,150.3,39.4,682.9,2567.4,141.3,8.2,Yes,High,145,2,0.77,6774.7,2753
F115,West,Rice,Conventional,Clay,6.62,38.1,32.1,36.5,218.9,33.7,270.4,45.6,457.9,2344.4,237.8,12,No,Medium,703.1,4.1,2.83,7294.6,1772.7
F116,West,Soybean,Conventional,Sandy,5.14,18.3,93.7,69.2,211.1,31.2,70.8,75.7,300.1,1777.4,3.2,11.4,No,High,702.5,4.3,0.63,5087.3,4196.5
F117,West,Soybean,Conventional,Loamy,8.2,9.4,48.9,64.6,60.8,15.6,54.9,35.6,560,2233,159.6,18.7,No,Low,1387.2,8,2.7,6069.4,4241.1
F118,North,Vegetables,Integrated,Clay,4.73,21.5,69.2,53,139.4,19.6,272.8,66.6,357.1,3066.7,64.7,9.4,No,High,1125.9,1.5,0.68,3878.5,4614.7
F119,North,Vegetables,Conventional,Loamy,5.7,29.4,93,42.7,147.6,24,246.3,50.5,446.5,3745.8,80.2,14,No,Medium,958.8,1,1,6464.5,3265.7
F120,North,Wheat,Organic,Sandy,4.74,38.9,87,77.1,160,17.8,178.2,27.3,165.6,4017.5,23.8,1.6,Yes,High,846,8.8,2.9,5316.9,131
F121,South,Soybean,Conventional,Loamy,6.29,12.4,37.3,32.3,60.7,26.8,84.9,45,159.4,2404.3,127,3.7,No,Low,1797.8,2.3,3.48,1648,1265.3
F122,South,Wheat,Organic,Loamy,5.32,34.9,49.5,78.9,61.4,20,85.8,42.6,283.3,4184.8,212.5,10.1,No,Medium,1502.6,8,1.76,2231.1,3407.5
F123,South,Cotton,Conventional,Silty,6.38,42.8,62.2,10.6,212.1,33.7,89.2,94.4,662.6,4811.8,169.9,6.8,Yes,Medium,165,4.1,0.51,2452.5,4477.3
F124,North,Soybean,Integrated,Loamy,5.67,41.5,45.3,22.2,162.9,25.7,20.4,66.4,454.4,1431.2,132.7,2.7,Yes,Low,864.1,7.7,1.02,973.3,2629.2
F125,North,Rice,Organic,Clay,7.14,30,22.3,46.5,119.7,20.2,125.8,92.3,202.7,4714.5,177.8,11.5,No,High,1294.8,0.3,0.87,6067.8,2522.8
F126,West,Soybean,Integrated,Silty,5.6,6.1,52.6,32.3,79.1,35.6,101,26.7,707.1,4656.8,71.7,17.8,No,Medium,1552.3,8.6,3.14,3957.4,4000.8
F127,North,Vegetables,Conventional,Loamy,6.66,12.6,26.7,23.5,197,35.9,105.9,63.6,180.1,4443.7,201.6,0.7,Yes,High,634.1,5.6,1.4,6678.3,1420.1
F128,East,Cotton,Conventional,Clay,4.61,6.1,68.6,34.6,234.4,16.6,256.8,65.1,369.7,4525.3,46.8,11.5,No,High,510.2,2.1,1.62,3393.1,113.7
F129,South,Cotton,Integrated,Silty,7.63,29,65.6,55.2,115.6,37.5,252.3,83.1,588,4495.1,218.5,13.1,Yes,High,640.3,2.5,2.79,3991.2,3346.4
F130,South,Vegetables,Integrated,Sandy,6.14,13,43.8,38.4,82.1,34.8,219.2,82.9,221.9,4244.2,185.8,19.2,Yes,Medium,252.1,6.1,1.79,6951.6,140.4
F131,East,Rice,Conventional,Silty,8.15,43.7,79.2,69.7,99.9,25.4,66.9,64.5,461.5,967.8,230.6,9.3,Yes,Medium,1052.1,9.5,1.99,1888.1,478.8
F132,South,Rice,Conventional,Silty,5.45,40.3,112.3,42.4,220.9,29.1,75.8,68.9,790.1,699.8,202.1,0.6,Yes,High,1529.4,1.7,1.01,5156.9,2722.6
F133,South,Soybean,Conventional,Silty,6.02,33.8,82.1,17.2,182.5,34,57.6,53.1,392.1,3670.9,124.5,13.9,Yes,Medium,1782.9,7.2,1.15,3684.3,1067.3
F134,West,Rice,Organic,Sandy,6.83,13.4,57.4,32.6,224.1,34.4,225,74,325.7,874.6,39.9,17.5,No,Low,1639.9,1.4,1.83,636.3,683.4
F135,East,Wheat,Organic,Clay,7.94,20.7,98.3,52.2,235.6,25.6,236.2,63.4,560.3,2128.8,237.7,14.4,No,Low,1583.7,9.2,2.13,6491.6,410.2
F136,North,Maize,Conventional,Sandy,8.01,13.2,99.8,70.5,222.9,38.4,114.7,55.7,484.1,882.9,24.4,14.8,Yes,Medium,1950.4,5.6,1.28,2352.3,3524.4
F137,South,Maize,Integrated,Loamy,8.21,38.9,40.3,15.6,113.3,26.5,162.5,40.6,151.7,1578.4,20.9,14.7,Yes,Low,293.7,4.2,1.47,5003,958.3
F138,West,Soybean,Organic,Loamy,8.09,5.5,54.2,12.7,161,38.4,258,91,116.1,4770.7,214.3,10.5,Yes,High,591.2,9.2,2.96,3157.4,4394.9
F139,West,Maize,Conventional,Loamy,7.69,33.7,60.4,66.6,122.4,35,199.9,64.2,380.1,1235.4,202.1,8.6,No,Low,351.4,0.9,0.57,1377.7,4171.5
F140,East,Wheat,Organic,Loamy,5.85,40.8,91.6,59,177.9,25.6,70.3,28.5,703,4100,78.8,17.4,No,High,493.4,2.8,3.16,7272.8,4799.7
F141,South,Rice,Integrated,Sandy,6.48,8,59.9,71.2,147.9,26.2,194.3,78.8,708.9,587.3,88.1,14.7,No,High,198.5,7.5,2.11,1859.9,3853.2
F142,East,Rice,Integrated,Sandy,7.87,17.1,108.6,15.5,146.9,34.1,83.8,79.6,268,802.1,127.6,3.4,No,Medium,1030.8,7.7,0.62,893.5,1843.2
F143,West,Vegetables,Conventional,Silty,5.4,14.6,84.4,70.4,84.6,20.4,210,76.2,723.3,2308.1,115.1,8.4,Yes,Low,1363.8,2.2,0.63,3599.6,947.8
F144,East,Rice,Conventional,Sandy,4.53,38.8,99.7,39.5,213,23.3,238.6,29.2,399.4,1266.4,57.1,7.3,No,High,319.3,5.6,2.64,1268.8,940.3
